REGION,EMISSION,YEAR,VALUE
RE1,EMIN2O,2036,0.0
RE1,EMIN2O,2037,0.0
RE1,EMIN2O,2038,0.0
RE1,EMIN2O,2039,0.0
RE1,EMIN2O,2040,0.0
RE1,EMIN2O,2041,0.0
RE1,EMIN2O,2042,0.0
RE1,EMIN2O,2043,0.0
RE1,EMIN2O,2044,0.0
RE1,EMIN2O,2045,0.0
RE1,EMIN2O,2046,0.0
RE1,EMIN2O,2047,0.0
RE1,EMIN2O,2048,0.0
RE1,EMIN2O,2049,0.0
RE1,EMIN2O,2050,0.0
RE1,EMIN2O,2051,0.0
RE1,EMIN2O,2052,0.0
RE1,EMIN2O,2053,0.0
RE1,EMIN2O,2054,0.0
RE1,EMIN2O,2055,0.0
RE1,EMINH3,2022,0.0
RE1,EMINH3,2023,0.0
RE1,EMINH3,2024,0.0
RE1,EMINH3,2025,0.0
RE1,EMINH3,2026,0.0
RE1,EMINH3,2027,0.0
RE1,EMINH3,2028,0.0
RE1,EMINH3,2029,0.0
RE1,EMINH3,2030,0.0
RE1,EMINH3,2031,0.0
RE1,EMINH3,2032,0.0
RE1,EMINH3,2033,0.0
RE1,EMINH3,2034,0.0
RE1,EMINH3,2035,0.0
RE1,EMINH3,2036,0.0
RE1,EMINH3,2037,0.0
RE1,EMINH3,2038,0.0
RE1,EMINH3,2039,0.0
RE1,EMINH3,2040,0.0
RE1,EMINH3,2041,0.0
RE1,EMINH3,2042,0.0
RE1,EMINH3,2043,0.0
RE1,EMINH3,2044,0.0
RE1,EMINH3,2045,0.0
RE1,EMINH3,2046,0.0
RE1,EMINH3,2047,0.0
RE1,EMINH3,2048,0.0
RE1,EMINH3,2049,0.0
RE1,EMINH3,2050,0.0
RE1,EMINH3,2051,0.0
RE1,EMINH3,2052,0.0
RE1,EMINH3,2053,0.0
RE1,EMINH3,2054,0.0
RE1,EMINH3,2055,0.0
RE1,EMINOx,2022,0.0
RE1,EMINOx,2023,0.0
RE1,EMINOx,2024,0.0
RE1,EMINOx,2025,0.0
RE1,EMINOx,2026,0.0
RE1,EMINOx,2027,0.0
RE1,EMINOx,2028,0.0
RE1,EMINOx,2029,0.0
RE1,EMINOx,2030,0.0
RE1,EMINOx,2031,0.0
RE1,EMINOx,2032,0.0
RE1,EMINOx,2033,0.0
RE1,EMINOx,2034,0.0
RE1,EMINOx,2035,0.0
RE1,EMINOx,2036,0.0
RE1,EMINOx,2037,0.0
RE1,EMINOx,2038,0.0
RE1,EMINOx,2039,0.0
RE1,EMINOx,2040,0.0
RE1,EMINOx,2041,0.0
RE1,EMINOx,2042,0.0
RE1,EMINOx,2043,0.0
RE1,EMINOx,2044,0.0
RE1,EMINOx,2045,0.0
RE1,EMINOx,2046,0.0
RE1,EMINOx,2047,0.0
RE1,EMINOx,2048,0.0
RE1,EMINOx,2049,0.0
RE1,EMINOx,2050,0.0
RE1,EMINOx,2051,0.0
RE1,EMINOx,2052,0.0
RE1,EMINOx,2053,0.0
RE1,EMINOx,2054,0.0
RE1,EMINOx,2055,0.0
RE1,EMIPM10,2022,0.0
RE1,EMIPM10,2023,0.0
RE1,EMIPM10,2024,0.0
RE1,EMIPM10,2025,0.0
RE1,EMIPM10,2026,0.0
RE1,EMIPM10,2027,0.0
RE1,EMIPM10,2028,0.0
RE1,EMIPM10,2029,0.0
RE1,EMIPM10,2030,0.0
RE1,EMIPM10,2031,0.0
RE1,EMIPM10,2032,0.0
RE1,EMIPM10,2033,0.0
RE1,EMIPM10,2034,0.0
RE1,EMIPM10,2035,0.0
RE1,EMIPM10,2036,0.0
RE1,EMIPM10,2037,0.0
RE1,EMIPM10,2038,0.0
RE1,EMIPM10,2039,0.0
RE1,EMIPM10,2040,0.0
RE1,EMIPM10,2041,0.0
RE1,EMIPM10,2042,0.0
RE1,EMIPM10,2043,0.0
RE1,EMIPM10,2044,0.0
RE1,EMIPM10,2045,0.0
RE1,EMIPM10,2046,0.0
RE1,EMIPM10,2047,0.0
RE1,EMIPM10,2048,0.0
RE1,EMIPM10,2049,0.0
RE1,EMIPM10,2050,0.0
RE1,EMIPM10,2051,0.0
RE1,EMIPM10,2052,0.0
RE1,EMIPM10,2053,0.0
RE1,EMIPM10,2054,0.0
RE1,EMIPM10,2055,0.0
RE1,EMIPM2_5,2022,0.0
RE1,EMIPM2_5,2023,0.0
RE1,EMIPM2_5,2024,0.0
RE1,EMIPM2_5,2025,0.0
RE1,EMIPM2_5,2026,0.0
RE1,EMIPM2_5,2027,0.0
RE1,EMIPM2_5,2028,0.0
RE1,EMIPM2_5,2029,0.0
RE1,EMIPM2_5,2030,0.0
RE1,EMIPM2_5,2031,0.0
RE1,EMIPM2_5,2032,0.0
RE1,EMIPM2_5,2033,0.0
RE1,EMIPM2_5,2034,0.0
RE1,EMIPM2_5,2035,0.0
RE1,EMIPM2_5,2036,0.0
RE1,EMIPM2_5,2037,0.0
RE1,EMIPM2_5,2038,0.0
RE1,EMIPM2_5,2039,0.0
RE1,EMIPM2_5,2040,0.0
RE1,EMIPM2_5,2041,0.0
RE1,EMIPM2_5,2042,0.0
RE1,EMIPM2_5,2043,0.0
RE1,EMIPM2_5,2044,0.0
RE1,EMIPM2_5,2045,0.0
RE1,EMIPM2_5,2046,0.0
RE1,EMIPM2_5,2047,0.0
RE1,EMIPM2_5,2048,0.0
RE1,EMIPM2_5,2049,0.0
RE1,EMIPM2_5,2050,0.0
RE1,EMIPM2_5,2051,0.0
RE1,EMIPM2_5,2052,0.0
RE1,EMIPM2_5,2053,0.0
RE1,EMIPM2_5,2054,0.0
RE1,EMIPM2_5,2055,0.0
RE1,EMISOx,2022,0.0
RE1,EMISOx,2023,0.0
RE1,EMISOx,2024,0.0
RE1,EMISOx,2025,0.0
RE1,EMISOx,2026,0.0
RE1,EMISOx,2027,0.0
RE1,EMISOx,2028,0.0
RE1,EMISOx,2029,0.0
RE1,EMISOx,2030,0.0
RE1,EMISOx,2031,0.0
RE1,EMISOx,2032,0.0
RE1,EMISOx,2033,0.0
