REGION,FUEL,YEAR,VALUE
RE1,INDDHT,2024,51.56636556636519
RE1,INDDHT,2025,52.08948179541881
RE1,INDDHT,2026,53.15067162835373
RE1,INDDHT,2027,53.94526427046279
RE1,INDDHT,2028,55.01436798188432
RE1,INDDHT,2029,56.17936871115277
RE1,INDDHT,2030,56.9771151884112
RE1,INDDHT,2031,57.79592176281356
RE1,INDDHT,2032,58.61013964474074
RE1,INDDHT,2033,59.42285764509147
RE1,INDDHT,2034,61.18973397507809
RE1,INDDHT,2035,63.40717293976476
RE1,INDDHT,2036,65.70953419115986
RE1,INDDHT,2037,68.12025925048391
RE1,INDDHT,2038,70.62431894287971
RE1,INDDHT,2039,73.22569109132856
RE1,INDDHT,2040,75.92846518584267
RE1,INDDHT,2041,78.73665127973595
RE1,INDDHT,2042,81.71288086460869
RE1,INDDHT,2043,84.80609213768805
RE1,INDDHT,2044,88.02125669169753
RE1,INDDHT,2045,91.36356670781792
RE1,INDDHT,2046,94.83808449954414
RE1,INDDHT,2047,98.46872062038602
RE1,INDDHT,2048,102.2359569860804
RE1,INDDHT,2049,106.1443943329496
RE1,INDDHT,2050,110.1993493959936
RE1,INDDHT,2051,114.413022913686
RE1,INDDHT,2052,118.792421109575
RE1,INDDHT,2053,123.5300727113982
RE1,INDDHT,2054,128.4354892535416
RE1,INDDHT,2055,128.4354892535416
RE1,INDIHT,2022,95.75279994985314
RE1,INDIHT,2023,97.70124289007776
RE1,INDIHT,2024,95.6583815252622
RE1,INDIHT,2025,96.721410570757
RE1,INDIHT,2026,98.74516770350463
RE1,INDIHT,2027,100.2760551863507
RE1,INDIHT,2028,102.3196482905111
RE1,INDIHT,2029,104.5444094497231
RE1,INDIHT,2030,106.0882810411343
RE1,INDIHT,2031,107.6737613108232
RE1,INDIHT,2032,109.2528953820349
RE1,INDIHT,2033,110.8314316461708
RE1,INDIHT,2034,114.1928258686468
RE1,INDIHT,2035,118.3998265073302
RE1,INDIHT,2036,122.7710424492536
RE1,INDIHT,2037,127.3503674978297
RE1,INDIHT,2038,132.1100846063506
RE1,INDIHT,2039,137.0579892736623
RE1,INDIHT,2040,142.2021074355112
RE1,INDIHT,2041,147.5506760594738
RE1,INDIHT,2042,153.2212261410428
RE1,INDIHT,2043,159.1185737061143
RE1,INDIHT,2044,165.2525030751289
RE1,INDIHT,2045,171.6332398030764
RE1,INDIHT,2046,178.2712279823956
RE1,INDIHT,2047,185.2115580760411
RE1,INDIHT,2048,192.418101436829
RE1,INDIHT,2049,199.9000646386791
RE1,INDIHT,2050,207.6680299644336
RE1,INDIHT,2051,215.7459770973115
RE1,INDIHT,2052,224.1474056605771
RE1,INDIHT,2053,233.0818058926785
RE1,INDIHT,2054,242.3324713849482
RE1,INDIHT,2055,242.3324713849482
RE1,INDILU,2022,1.269462841038187
RE1,INDILU,2023,1.209818262008241
RE1,INDILU,2024,1.185672318524061
RE1,INDILU,2025,1.199211303653923
RE1,INDILU,2026,1.224418176559696
RE1,INDILU,2027,1.243559282509467
RE1,INDILU,2028,1.269103132270935
RE1,INDILU,2029,1.296938941471844
RE1,INDILU,2030,1.316370792957151
RE1,INDILU,2031,1.336360884389239
RE1,INDILU,2032,1.356311857684253
RE1,INDILU,2033,1.376294261552556
RE1,INDILU,2034,1.418460841262122
RE1,INDILU,2035,1.471186240874863
RE1,INDILU,2036,1.526014007438976
RE1,INDILU,2037,1.58349144983007
RE1,INDILU,2038,1.643277799940435
RE1,INDILU,2039,1.705473823963996
RE1,INDILU,2040,1.770183429481193
RE1,INDILU,2041,1.837515817741387
RE1,INDILU,2042,1.908937558974894
RE1,INDILU,2043,1.98326878291702
RE1,INDILU,2044,2.060636634551998
RE1,INDILU,2045,2.141174099304116
RE1,INDILU,2046,2.225020289027047
RE1,INDILU,2047,2.312741459675351
RE1,INDILU,2048,2.403893215801636
RE1,INDILU,2049,2.498597066168879
RE1,INDILU,2050,2.596992062131079
RE1,INDILU,2051,2.699387965306504
RE1,INDILU,2052,2.805958885075363
RE1,INDILU,2053,2.916884984401269
RE1,INDILU,2054,3.031717333521768
RE1,INDILU,2055,3.031717333521768
RE1,INDMPW,2022,33.24216074968833
RE1,INDMPW,2023,31.69528021846081
RE1,INDMPW,2024,31.07661171115935
RE1,INDMPW,2025,31.44485378042946
RE1,INDMPW,2026,32.11883521576313
RE1,INDMPW,2027,32.63357972393246
RE1,INDMPW,2028,33.31624705436526
RE1,INDMPW,2029,34.05908323595377
RE1,INDMPW,2030,34.58117807310543
RE1,INDMPW,2031,35.11783623637964
RE1,INDMPW,2032,35.65338269715903
RE1,INDMPW,2033,36.18968325677726
RE1,INDMPW,2034,37.30942717102504
RE1,INDMPW,2035,38.70725552291772
RE1,INDMPW,2036,40.16083734558237
RE1,INDMPW,2037,41.68460998305764
RE1,INDMPW,2038,43.26963975720936
RE1,INDMPW,2039,44.91861087989274
RE1,INDMPW,2040,46.63429130691537
RE1,INDMPW,2041,48.41958952421869
RE1,INDMPW,2042,50.31319083158713
RE1,INDMPW,2043,52.28404678442911
RE1,INDMPW,2044,54.33554283485237
RE1,INDMPW,2045,56.47121985750483
RE1,INDMPW,2046,58.69478179754677
RE1,INDMPW,2047,61.02120423895129
RE1,INDMPW,2048,63.43880206190083
RE1,INDMPW,2049,65.95081642212368
RE1,INDMPW,2050,68.56095271449442
RE1,INDMPW,2051,71.2774253632379
RE1,INDMPW,2052,74.1048708647152
RE1,INDMPW,2053,77.04808747580373
RE1,INDMPW,2054,80.09525528497657
RE1,INDMPW,2055,80.09525528497657
RE1,INDOTH_ELC,2022,0.3979098564743405
