REGION,EMISSION,VALUE
RE1,EMIBC,9.99999999999999e+21
RE1,EMIC02,9.99999999999999e+21
RE1,EMICH4,9.99999999999999e+21
RE1,EMICO,9.99999999999999e+21
RE1,EMICOVDM,9.99999999999999e+21
RE1,EMIN2O,9.99999999999999e+21
RE1,EMINH3,9.99999999999999e+21
RE1,EMINOx,9.99999999999999e+21
RE1,EMIPM10,9.99999999999999e+21
RE1,EMIPM2_5,9.99999999999999e+21
RE1,EMISOx,9.99999999999999e+21
