REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,DEMDERHDG,HDG,1.0,2041,1.0
RE1,DEMDERHDG,HDG,1.0,2042,1.0
RE1,DEMDERHDG,HDG,1.0,2043,1.0
RE1,DEMDERHDG,HDG,1.0,2044,1.0
RE1,DEMDERHDG,HDG,1.0,2045,1.0
RE1,DEMDERHDG,HDG,1.0,2046,1.0
RE1,DEMDERHDG,HDG,1.0,2047,1.0
RE1,DEMDERHDG,HDG,1.0,2048,1.0
RE1,DEMDERHDG,HDG,1.0,2049,1.0
RE1,DEMDERHDG,HDG,1.0,2050,1.0
RE1,DEMDERHDG,HDG,1.0,2051,1.0
RE1,DEMDERHDG,HDG,1.0,2052,1.0
RE1,DEMDERHDG,HDG,1.0,2053,1.0
RE1,DEMDERHDG,HDG,1.0,2054,1.0
RE1,DEMDERHDG,HDG,1.0,2055,1.0
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2022,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2023,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2024,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2025,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2026,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2027,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2028,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2029,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2030,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2031,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2032,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2033,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2034,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2035,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2036,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2037,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2038,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2039,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2040,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2041,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2042,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2043,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2044,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2045,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2046,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2047,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2048,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2049,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2050,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2051,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2052,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2053,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2054,1.111111111111111
RE1,DEMINDBAGBOI_HIG,BAG,1.0,2055,1.111111111111111
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2022,1.538461538461538
