REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMAGFELC,2030,99999.0
RE1,DEMAGFELC,2031,99999.0
RE1,DEMAGFELC,2032,99999.0
RE1,DEMAGFELC,2033,99999.0
RE1,DEMAGFELC,2034,99999.0
RE1,DEMAGFELC,2035,99999.0
RE1,DEMAGFELC,2036,99999.0
RE1,DEMAGFELC,2037,99999.0
RE1,DEMAGFELC,2038,99999.0
RE1,DEMAGFELC,2039,99999.0
RE1,DEMAGFELC,2040,99999.0
RE1,DEMAGFELC,2041,99999.0
RE1,DEMAGFELC,2042,99999.0
RE1,DEMAGFELC,2043,99999.0
RE1,DEMAGFELC,2044,99999.0
RE1,DEMAGFELC,2045,99999.0
RE1,DEMAGFELC,2046,99999.0
RE1,DEMAGFELC,2047,99999.0
RE1,DEMAGFELC,2048,99999.0
RE1,DEMAGFELC,2049,99999.0
RE1,DEMAGFELC,2050,99999.0
RE1,DEMAGFELC,2051,99999.0
RE1,DEMAGFELC,2052,99999.0
RE1,DEMAGFELC,2053,99999.0
RE1,DEMAGFELC,2054,99999.0
RE1,DEMAGFELC,2055,99999.0
RE1,DEMAGFGSL,2022,99999.0
RE1,DEMAGFGSL,2023,99999.0
RE1,DEMAGFGSL,2024,99999.0
RE1,DEMAGFGSL,2025,99999.0
RE1,DEMAGFGSL,2026,99999.0
RE1,DEMAGFGSL,2027,99999.0
RE1,DEMAGFGSL,2028,99999.0
RE1,DEMAGFGSL,2029,99999.0
RE1,DEMAGFGSL,2030,99999.0
RE1,DEMAGFGSL,2031,99999.0
RE1,DEMAGFGSL,2032,99999.0
RE1,DEMAGFGSL,2033,99999.0
RE1,DEMAGFGSL,2034,99999.0
RE1,DEMAGFGSL,2035,99999.0
RE1,DEMAGFGSL,2036,99999.0
RE1,DEMAGFGSL,2037,99999.0
RE1,DEMAGFGSL,2038,99999.0
RE1,DEMAGFGSL,2039,99999.0
RE1,DEMAGFGSL,2040,99999.0
RE1,DEMAGFGSL,2041,99999.0
RE1,DEMAGFGSL,2042,99999.0
RE1,DEMAGFGSL,2043,99999.0
RE1,DEMAGFGSL,2044,99999.0
RE1,DEMAGFGSL,2045,99999.0
RE1,DEMAGFGSL,2046,99999.0
RE1,DEMAGFGSL,2047,99999.0
RE1,DEMAGFGSL,2048,99999.0
RE1,DEMAGFGSL,2049,99999.0
RE1,DEMAGFGSL,2050,99999.0
RE1,DEMAGFGSL,2051,99999.0
RE1,DEMAGFGSL,2052,99999.0
RE1,DEMAGFGSL,2053,99999.0
RE1,DEMAGFGSL,2054,99999.0
RE1,DEMAGFGSL,2055,99999.0
RE1,DEMAGFNGS,2022,99999.0
RE1,DEMAGFNGS,2023,99999.0
RE1,DEMAGFNGS,2024,99999.0
RE1,DEMAGFNGS,2025,99999.0
RE1,DEMAGFNGS,2026,99999.0
RE1,DEMAGFNGS,2027,99999.0
RE1,DEMAGFNGS,2028,99999.0
RE1,DEMAGFNGS,2029,99999.0
RE1,DEMAGFNGS,2030,99999.0
RE1,DEMAGFNGS,2031,99999.0
RE1,DEMAGFNGS,2032,99999.0
RE1,DEMAGFNGS,2033,99999.0
RE1,DEMAGFNGS,2034,99999.0
RE1,DEMAGFNGS,2035,99999.0
RE1,DEMAGFNGS,2036,99999.0
RE1,DEMAGFNGS,2037,99999.0
RE1,DEMAGFNGS,2038,99999.0
RE1,DEMAGFNGS,2039,99999.0
RE1,DEMAGFNGS,2040,99999.0
RE1,DEMAGFNGS,2041,99999.0
RE1,DEMAGFNGS,2042,99999.0
RE1,DEMAGFNGS,2043,99999.0
RE1,DEMAGFNGS,2044,99999.0
RE1,DEMAGFNGS,2045,99999.0
RE1,DEMAGFNGS,2046,99999.0
RE1,DEMAGFNGS,2047,99999.0
RE1,DEMAGFNGS,2048,99999.0
RE1,DEMAGFNGS,2049,99999.0
RE1,DEMAGFNGS,2050,99999.0
RE1,DEMAGFNGS,2051,99999.0
RE1,DEMAGFNGS,2052,99999.0
RE1,DEMAGFNGS,2053,99999.0
RE1,DEMAGFNGS,2054,99999.0
RE1,DEMAGFNGS,2055,99999.0
RE1,DEMAGFWOO,2022,99999.0
RE1,DEMAGFWOO,2023,99999.0
RE1,DEMAGFWOO,2024,99999.0
RE1,DEMAGFWOO,2025,99999.0
RE1,DEMAGFWOO,2026,99999.0
RE1,DEMAGFWOO,2027,99999.0
RE1,DEMAGFWOO,2028,99999.0
RE1,DEMAGFWOO,2029,99999.0
RE1,DEMAGFWOO,2030,99999.0
RE1,DEMAGFWOO,2031,99999.0
RE1,DEMAGFWOO,2032,99999.0
RE1,DEMAGFWOO,2033,99999.0
RE1,DEMAGFWOO,2034,99999.0
RE1,DEMAGFWOO,2035,99999.0
RE1,DEMAGFWOO,2036,99999.0
RE1,DEMAGFWOO,2037,99999.0
RE1,DEMAGFWOO,2038,99999.0
RE1,DEMAGFWOO,2039,99999.0
RE1,DEMAGFWOO,2040,99999.0
RE1,DEMAGFWOO,2041,99999.0
RE1,DEMAGFWOO,2042,99999.0
RE1,DEMAGFWOO,2043,99999.0
RE1,DEMAGFWOO,2044,99999.0
RE1,DEMAGFWOO,2045,99999.0
RE1,DEMAGFWOO,2046,99999.0
RE1,DEMAGFWOO,2047,99999.0
RE1,DEMAGFWOO,2048,99999.0
RE1,DEMAGFWOO,2049,99999.0
RE1,DEMAGFWOO,2050,99999.0
RE1,DEMAGFWOO,2051,99999.0
RE1,DEMAGFWOO,2052,99999.0
RE1,DEMAGFWOO,2053,99999.0
RE1,DEMAGFWOO,2054,99999.0
RE1,DEMAGFWOO,2055,99999.0
RE1,DEMCONSDSL,2022,99999.0
RE1,DEMCONSDSL,2023,99999.0
RE1,DEMCONSDSL,2024,99999.0
RE1,DEMCONSDSL,2025,99999.0
RE1,DEMCONSDSL,2026,99999.0
RE1,DEMCONSDSL,2027,99999.0
RE1,DEMCONSDSL,2028,99999.0
RE1,DEMCONSDSL,2029,99999.0
RE1,DEMCONSDSL,2030,99999.0
RE1,DEMCONSDSL,2031,99999.0
RE1,DEMCONSDSL,2032,99999.0
RE1,DEMCONSDSL,2033,99999.0
RE1,DEMCONSDSL,2034,99999.0
RE1,DEMCONSDSL,2035,99999.0
RE1,DEMCONSDSL,2036,99999.0
RE1,DEMCONSDSL,2037,99999.0
RE1,DEMCONSDSL,2038,99999.0
RE1,DEMCONSDSL,2039,99999.0
RE1,DEMCONSDSL,2040,99999.0
RE1,DEMCONSDSL,2041,99999.0
RE1,DEMCONSDSL,2042,99999.0
RE1,DEMCONSDSL,2043,99999.0
RE1,DEMCONSDSL,2044,99999.0
RE1,DEMCONSDSL,2045,99999.0
RE1,DEMCONSDSL,2046,99999.0
RE1,DEMCONSDSL,2047,99999.0
RE1,DEMCONSDSL,2048,99999.0
RE1,DEMCONSDSL,2049,99999.0
RE1,DEMCONSDSL,2050,99999.0
RE1,DEMCONSDSL,2051,99999.0
RE1,DEMCONSDSL,2052,99999.0
RE1,DEMCONSDSL,2053,99999.0
RE1,DEMCONSDSL,2054,99999.0
RE1,DEMCONSDSL,2055,99999.0
RE1,DEMCONSELC,2022,99999.0
RE1,DEMCONSELC,2023,99999.0
RE1,DEMCONSELC,2024,99999.0
RE1,DEMCONSELC,2025,99999.0
RE1,DEMCONSELC,2026,99999.0
RE1,DEMCONSELC,2027,99999.0
RE1,DEMCONSELC,2028,99999.0
RE1,DEMCONSELC,2029,99999.0
RE1,DEMCONSELC,2030,99999.0
RE1,DEMCONSELC,2031,99999.0
RE1,DEMCONSELC,2032,99999.0
RE1,DEMCONSELC,2033,99999.0
RE1,DEMCONSELC,2034,99999.0
RE1,DEMCONSELC,2035,99999.0
RE1,DEMCONSELC,2036,99999.0
RE1,DEMCONSELC,2037,99999.0
RE1,DEMCONSELC,2038,99999.0
RE1,DEMCONSELC,2039,99999.0
RE1,DEMCONSELC,2040,99999.0
RE1,DEMCONSELC,2041,99999.0
RE1,DEMCONSELC,2042,99999.0
RE1,DEMCONSELC,2043,99999.0
RE1,DEMCONSELC,2044,99999.0
RE1,DEMCONSELC,2045,99999.0
RE1,DEMCONSELC,2046,99999.0
RE1,DEMCONSELC,2047,99999.0
RE1,DEMCONSELC,2048,99999.0
RE1,DEMCONSELC,2049,99999.0
RE1,DEMCONSELC,2050,99999.0
RE1,DEMCONSELC,2051,99999.0
RE1,DEMCONSELC,2052,99999.0
RE1,DEMCONSELC,2053,99999.0
RE1,DEMCONSELC,2054,99999.0
RE1,DEMCONSELC,2055,99999.0
RE1,DEMCONSGSL,2022,99999.0
RE1,DEMCONSGSL,2023,99999.0
RE1,DEMCONSGSL,2024,99999.0
RE1,DEMCONSGSL,2025,99999.0
RE1,DEMCONSGSL,2026,99999.0
RE1,DEMCONSGSL,2027,99999.0
RE1,DEMCONSGSL,2028,99999.0
RE1,DEMCONSGSL,2029,99999.0
RE1,DEMCONSGSL,2030,99999.0
RE1,DEMCONSGSL,2031,99999.0
RE1,DEMCONSGSL,2032,99999.0
RE1,DEMCONSGSL,2033,99999.0
RE1,DEMCONSGSL,2034,99999.0
RE1,DEMCONSGSL,2035,99999.0
RE1,DEMCONSGSL,2036,99999.0
RE1,DEMCONSGSL,2037,99999.0
RE1,DEMCONSGSL,2038,99999.0
RE1,DEMCONSGSL,2039,99999.0
RE1,DEMCONSGSL,2040,99999.0
RE1,DEMCONSGSL,2041,99999.0
RE1,DEMCONSGSL,2042,99999.0
RE1,DEMCONSGSL,2043,99999.0
RE1,DEMCONSGSL,2044,99999.0
RE1,DEMCONSGSL,2045,99999.0
RE1,DEMCONSGSL,2046,99999.0
RE1,DEMCONSGSL,2047,99999.0
RE1,DEMCONSGSL,2048,99999.0
RE1,DEMCONSGSL,2049,99999.0
RE1,DEMCONSGSL,2050,99999.0
RE1,DEMCONSGSL,2051,99999.0
RE1,DEMCONSGSL,2052,99999.0
RE1,DEMCONSGSL,2053,99999.0
RE1,DEMCONSGSL,2054,99999.0
RE1,DEMCONSGSL,2055,99999.0
RE1,DEMCONSNGS,2022,99999.0
RE1,DEMCONSNGS,2023,99999.0
RE1,DEMCONSNGS,2024,99999.0
RE1,DEMCONSNGS,2025,99999.0
RE1,DEMCONSNGS,2026,99999.0
RE1,DEMCONSNGS,2027,99999.0
RE1,DEMCONSNGS,2028,99999.0
RE1,DEMCONSNGS,2029,99999.0
RE1,DEMCONSNGS,2030,99999.0
RE1,DEMCONSNGS,2031,99999.0
RE1,DEMCONSNGS,2032,99999.0
RE1,DEMCONSNGS,2033,99999.0
RE1,DEMCONSNGS,2034,99999.0
RE1,DEMCONSNGS,2035,99999.0
RE1,DEMCONSNGS,2036,99999.0
RE1,DEMCONSNGS,2037,99999.0
RE1,DEMCONSNGS,2038,99999.0
RE1,DEMCONSNGS,2039,99999.0
