REGION,TECHNOLOGY,VALUE
RE1,DEMINDNGSFURCSS,99999.0
RE1,DEMINDNGSFUR_HIG,99999.0
RE1,DEMINDNGSFUR_LOW,99999.0
RE1,DEMINDNGSFUR_MID,99999.0
RE1,DEMINDWASBOI_HIG,99999.0
RE1,DEMINDWASBOI_LOW,99999.0
RE1,DEMINDWASBOI_MID,99999.0
RE1,DEMINDWASFUR_HIG,99999.0
RE1,DEMINDWASFUR_LOW,99999.0
RE1,DEMINDWASFUR_MID,99999.0
RE1,DEMMINIDSL,99999.0
RE1,DEMMINIELC,99999.0
RE1,DEMMINIGSL,99999.0
RE1,DEMMININGS,99999.0
RE1,DEMNGSAUT,99999.0
RE1,DEMNSEELC,99999.0
RE1,DEMRESBGSCKN_MID_RUR,99999.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,99999.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,99999.0
RE1,DEMRESELCAIR_PAR_LOW_URB,99999.0
RE1,DEMRESELCAIR_PAR_MID_RUR,99999.0
RE1,DEMRESELCAIR_PAR_MID_URB,99999.0
RE1,DEMRESELCAIR_POR_HIG_RUR,99999.0
RE1,DEMRESELCAIR_POR_HIG_URB,99999.0
RE1,DEMRESELCAIR_POR_LOW_RUR,99999.0
RE1,DEMRESELCAIR_POR_LOW_URB,99999.0
RE1,DEMRESELCAIR_POR_MID_RUR,99999.0
RE1,DEMRESELCAIR_POR_MID_URB,99999.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,99999.0
RE1,DEMRESELCAIR_SPL_HIG_URB,99999.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,99999.0
RE1,DEMRESELCAIR_SPL_LOW_URB,99999.0
RE1,DEMRESELCAIR_SPL_MID_RUR,99999.0
RE1,DEMRESELCAIR_SPL_MID_URB,99999.0
RE1,DEMRESELCCKN_HIG_RUR,99999.0
RE1,DEMRESELCCKN_HIG_URB,99999.0
RE1,DEMRESELCCKN_LOW_RUR,99999.0
RE1,DEMRESELCCKN_LOW_URB,99999.0
RE1,DEMRESELCCKN_MID_RUR,99999.0
RE1,DEMRESELCCKN_MID_URB,99999.0
RE1,DEMRESELCFAN_HIG_RUR,99999.0
RE1,DEMRESELCFAN_HIG_URB,99999.0
RE1,DEMRESELCFAN_LOW_RUR,99999.0
RE1,DEMRESELCFAN_LOW_URB,99999.0
RE1,DEMRESELCFAN_MID_RUR,99999.0
RE1,DEMRESELCFAN_MID_URB,99999.0
RE1,DEMRESELCILU_HIG_RUR,99999.0
RE1,DEMRESELCILU_HIG_URB,99999.0
RE1,DEMRESELCILU_INC_RUR,99999.0
RE1,DEMRESELCILU_INC_URB,99999.0
RE1,DEMRESELCILU_LFC_RUR,99999.0
RE1,DEMRESELCILU_LFC_URB,99999.0
RE1,DEMRESELCILU_LOW_RUR,99999.0
RE1,DEMRESELCILU_LOW_URB,99999.0
RE1,DEMRESELCILU_MID_RUR,99999.0
RE1,DEMRESELCILU_MID_URB,99999.0
RE1,DEMRESELCOTH_HIG_RUR,99999.0
RE1,DEMRESELCOTH_HIG_URB,99999.0
RE1,DEMRESELCOTH_LOW_RUR,99999.0
RE1,DEMRESELCOTH_LOW_URB,99999.0
RE1,DEMRESELCOTH_MID_RUR,99999.0
RE1,DEMRESELCOTH_MID_URB,99999.0
RE1,DEMRESELCREF_HIG_RUR,99999.0
RE1,DEMRESELCREF_HIG_URB,99999.0
RE1,DEMRESELCREF_LOW_RUR,99999.0
RE1,DEMRESELCREF_LOW_URB,99999.0
RE1,DEMRESELCREF_MID_RUR,99999.0
RE1,DEMRESELCREF_MID_URB,99999.0
RE1,DEMRESELCTV_CRT_RUR,99999.0
RE1,DEMRESELCTV_CRT_URB,99999.0
RE1,DEMRESELCTV_HIG_RUR,99999.0
RE1,DEMRESELCTV_HIG_URB,99999.0
RE1,DEMRESELCTV_LOW_RUR,99999.0
RE1,DEMRESELCTV_LOW_URB,99999.0
RE1,DEMRESELCTV_MID_RUR,99999.0
RE1,DEMRESELCTV_MID_URB,99999.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,99999.0
RE1,DEMRESELCWHT_DUC_HIG_URB,99999.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,99999.0
RE1,DEMRESELCWHT_DUC_LOW_URB,99999.0
RE1,DEMRESELCWHT_DUC_MID_RUR,99999.0
RE1,DEMRESELCWHT_DUC_MID_URB,99999.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,99999.0
RE1,DEMRESELCWHT_PAS_HIG_URB,99999.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,99999.0
RE1,DEMRESELCWHT_PAS_LOW_URB,99999.0
RE1,DEMRESELCWHT_PAS_MID_RUR,99999.0
RE1,DEMRESELCWHT_PAS_MID_URB,99999.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,99999.0
RE1,DEMRESELCWHT_TAN_HIG_URB,99999.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,99999.0
RE1,DEMRESELCWHT_TAN_LOW_URB,99999.0
RE1,DEMRESELCWHT_TAN_MID_RUR,99999.0
RE1,DEMRESELCWHT_TAN_MID_URB,99999.0
RE1,DEMRESELCWSH_HIG_RUR,99999.0
RE1,DEMRESELCWSH_HIG_URB,99999.0
RE1,DEMRESELCWSH_LOW_RUR,99999.0
RE1,DEMRESELCWSH_LOW_URB,99999.0
RE1,DEMRESELCWSH_MID_RUR,99999.0
RE1,DEMRESELCWSH_MID_URB,99999.0
RE1,DEMRESLPGCKN_HIG_RUR,99999.0
RE1,DEMRESLPGCKN_HIG_URB,99999.0
RE1,DEMRESLPGCKN_LOW_RUR,99999.0
